RBD;NOM_RBD;PACE;COD_COM_RBD
401;ESCUELA BERNARDO O HIGGINS;0;3101
402;ESCUELA RUDECINDO ARMANDO PENA CARRASCO;0;3101
403;ESCUELA LAURA ROBLES SILVA;0;3101
404;ESCUELA EDUCACIÓN DIFERENCIAL MARÍA LUZ LANZA PIZARRO;0;3101
405;ESCUELA LOS ESTANDARTES;0;3101
406;ESCUELA VICENTE SEPÚLVEDA ROJO;0;3101
407;ESCUELA JESÚS FERNÁNDEZ HIDALGO;0;3101
408;ESCUELA PEDRO LEÓN GALLO;0;3101
410;ESCUELA JOSÉ MANSO DE VELASCO;0;3101
411;ESCUELA LAS CANTERAS;0;3101
413;ESCUELA LAS BRISAS;0;3101
415;LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE;0;3101
416;ESCUELA ABRAHAM SEPÚLVEDA PIZARRO;0;3101
417;COLEGIO BUEN PASTOR;0;3101
418;ESCUELA ISABEL PEÑA MORALES;0;3101
419;ESCUELA HERNÁN MÁRQUEZ HUERTA;0;3101
420;LICEO FERNANDO ARIZTÍA RUIZ;0;3101
421;ESCUELA BRUNO ZAVALA FREDES;0;3101
423;ESCUELA SAN PEDRO;0;3101
427;ESCUELA LUIS CRUZ MARTÍNEZ;0;3101
429;LICEO CATÓLICO ATACAMA;0;3101
430;LICEO POLITÉCNICO BELÉN;0;3101
431;LICEO SAGRADO CORAZÓN;0;3101
433;COLEGIO ADVENTISTA DE COPIAPÓ;0;3101
434;ESCUELA SAN VICENTE DE PAUL;0;3101
435;COLEGIO PARTIC. LUIS KATUNAR ZAFARANIC;0;3101
437;ESCUELA TÉCNICO PROFESIONAL;0;3101
438;LICEO MANUEL BLANCO ENCALADA;1;3102
439;ESCUELA TOTORAL;0;3101
440;COLEGIO PARROQUIAL PADRE NEGRO;0;3102
441;ESCUELA DE CONCENTRACIÓN;1;3103
442;ESCUELA VICTOR MANUEL SÁNCHEZ CABAÑAS;0;3103
444;ESCUELA LUIS URIBE ORREGO;0;3103
445;ESCUELA PAUL HARRIS;0;3103
446;ESCUELA AMOLANAS;0;3103
447;ESCUELA SAN ANTONIO;0;3103
448;LICEO PEDRO TRONCOSO MACHUCA;1;3301
449;LICEO JOSÉ SANTOS OSSA;1;3301
450;ESCUELA HERMANOS CARRERA;0;3301
452;ESCUELA GABRIELA MISTRAL;0;3301
453;ESCUELA IGNACIO CARRERA PINTO;0;3301
454;ESCUELA GREGORIO CASTILLO MARÍN;0;3301
455;ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;0;3301
456;ESCUELA EDUCACIÓN DIFERENCIAL LUIS IRIARTE IRIARTE;0;3301
458;ESCUELA ARTURO PÉREZ CANTO;0;3301
459;ESCUELA BÁSICA ESPAÑA;0;3301
461;ESCUELA LUIS CRUZ MARTÍNEZ;0;3301
462;ESCUELA JOSÉ CAROCA LAFLOR;0;3301
463;ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;0;3301
